trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.99, 'e': 0.24486529903492948}",20,0,4.794282937628861,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
141,False,"{'a': 0.99, 'e': 0.2424166460445802}",25,8,-20.536667149727602,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
142,False,"{'a': 0.99, 'e': 0.2399924795841344}",25,0,35.2209613899871,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.99, 'e': 0.23759255478829303}",20,10,18.753905445430014,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.99, 'e': 0.23521662924041012}",20,14,-1.3806002541322422,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.99, 'e': 0.232864462948006}",20,12,2.5956297863752766,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.99, 'e': 0.23053581831852593}",25,2,-64.07416137516343,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 2}",1
147,False,"{'a': 0.99, 'e': 0.22823046013534068}",25,19,-30.43097946762126,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.99, 'e': 0.22594815553398728}",25,2,34.51344579059308,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.99, 'e': 0.2236886739786474}",25,14,7.545424352602726,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.99, 'e': 0.22145178723886091}",20,3,-28.94662766859348,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
151,False,"{'a': 0.99, 'e': 0.2192372693664723}",30,18,13.309566165579662,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.99, 'e': 0.21704489667280757}",20,12,-0.2021570429236963,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.99, 'e': 0.2148744477060795}",20,0,19.432427457537187,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
154,False,"{'a': 0.99, 'e': 0.2127257032290187}",20,13,11.840883034412254,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.99, 'e': 0.21059844619672852}",30,0,-28.319515144715975,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
156,False,"{'a': 0.99, 'e': 0.20849246173476124}",20,8,10.20866096974802,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.99, 'e': 0.2064075371174136}",20,1,-5.567370495247259,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.99, 'e': 0.2043434617462395}",20,16,8.663692585922234,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.99, 'e': 0.2023000271287771}",20,12,4.54086274126705,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.99, 'e': 0.2002770268574893}",20,6,-37.736463008257424,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
161,False,"{'a': 0.99, 'e': 0.19827425658891443}",30,18,21.051701071957403,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.99, 'e': 0.19629151402302528}",20,5,13.590624403021156,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.99, 'e': 0.19432859888279502}",20,11,12.66026094939995,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.99, 'e': 0.19238531289396707}",25,11,-24.541333736613264,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.99, 'e': 0.1904614597650274}",20,2,-5.962787030395929,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
166,False,"{'a': 0.99, 'e': 0.1885568451673771}",20,14,10.476619845352563,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.99, 'e': 0.18667127671570335}",20,5,-38.49478275163939,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
168,False,"{'a': 0.99, 'e': 0.1848045639485463}",25,12,-7.4344161840925915,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
169,False,"{'a': 0.99, 'e': 0.18295651830906084}",20,4,11.493696333118557,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.99, 'e': 0.18112695312597024}",20,6,-16.797161614212364,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
171,False,"{'a': 0.99, 'e': 0.17931568359471053}",25,2,-8.806997994688226,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.99, 'e': 0.17752252675876343}",25,0,17.193482165858278,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
173,False,"{'a': 0.99, 'e': 0.1757473014911758}",25,14,21.496816205524944,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.99, 'e': 0.173989828476264}",20,2,7.49281470174825,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
175,False,"{'a': 0.99, 'e': 0.1722499301915014}",30,18,21.418956521254923,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.99, 'e': 0.17052743088958636}",20,0,-14.410926869674356,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
177,False,"{'a': 0.99, 'e': 0.1688221565806905}",20,6,21.067905731879236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.99, 'e': 0.1671339350148836}",30,11,3.01390344948625,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
179,False,"{'a': 0.99, 'e': 0.16546259566473476}",20,0,-43.89548308904623,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
180,False,"{'a': 0.99, 'e': 0.16380796970808742}",25,13,5.136045991952492,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.99, 'e': 0.16216989001100654}",20,2,-24.37196107452477,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.99, 'e': 0.16054819111089647}",20,13,0.4565358344909207,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.99, 'e': 0.1589427091997875}",20,13,-44.97769133779593,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
